epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,16002.9,0.90034,0.60848,1.20267,0.20324,0.16044,0.15473,0.09171,2.02589,1.61051,2.67781,0.000167188,0.000167188,0.000167188
107,16146.3,0.90473,0.61285,1.20794,0.20356,0.15858,0.15085,0.08896,2.03813,1.6117,2.72185,0.000156875,0.000156875,0.000156875
108,16288.4,0.90907,0.60701,1.20698,0.20447,0.15915,0.15018,0.08803,2.0335,1.56547,2.70528,0.000146562,0.000146562,0.000146562
109,16429.3,0.88094,0.5987,1.19545,0.20372,0.15908,0.15062,0.08887,2.0262,1.60924,2.70662,0.00013625,0.00013625,0.00013625
110,16570,0.87398,0.59109,1.18663,0.20291,0.15986,0.15247,0.09031,2.01146,1.54829,2.69324,0.000125938,0.000125938,0.000125938
111,16730.9,0.78548,0.40081,1.11855,0.20334,0.15733,0.14414,0.08478,2.13456,1.74542,2.94276,0.000115625,0.000115625,0.000115625
112,16874.7,0.77875,0.39594,1.1173,0.2031,0.15779,0.14584,0.0865,2.09631,1.62216,2.84568,0.000105312,0.000105312,0.000105312
113,17020.7,0.76924,0.38971,1.11918,0.20364,0.15776,0.14486,0.08635,2.08709,1.69803,2.82679,9.5e-05,9.5e-05,9.5e-05
114,17166.4,0.75965,0.37892,1.10602,0.2068,0.15732,0.14388,0.08581,2.11828,1.79596,2.89878,8.46875e-05,8.46875e-05,8.46875e-05
115,17313.2,0.74435,0.38034,1.09103,0.20566,0.15773,0.14423,0.08577,2.12245,1.73646,2.92203,7.4375e-05,7.4375e-05,7.4375e-05
116,17464.5,0.75587,0.37671,1.10716,0.20493,0.15728,0.14378,0.08541,2.11716,1.79487,2.9168,6.40625e-05,6.40625e-05,6.40625e-05
117,17615.1,0.72898,0.37211,1.09067,0.20326,0.1583,0.14503,0.08703,2.07078,1.72278,2.82681,5.375e-05,5.375e-05,5.375e-05
118,17766.4,0.73074,0.36979,1.08471,0.20424,0.15868,0.14656,0.08743,2.05712,1.68102,2.79539,4.34375e-05,4.34375e-05,4.34375e-05
119,17911.9,0.72965,0.37046,1.093,0.20379,0.15978,0.14717,0.08785,2.05538,1.68168,2.80559,3.3125e-05,3.3125e-05,3.3125e-05
120,18073.6,0.7087,0.35782,1.06708,0.20425,0.15919,0.14802,0.08845,2.03529,1.64304,2.77183,2.28125e-05,2.28125e-05,2.28125e-05
